,anammox_inhibition_factor,cod_anaerobic_digestion_inhibition_factor,Ammonia_OUT,Nitrite_OUT,Nitrate_OUT
64,0.15,0.04,0.2638047566422654,0.6926816841489984,0.2429774335726303
65,0.15,0.05,0.2624492091708815,0.6936184737761875,0.25371827277463405
66,0.15,0.06,0.26113955376447096,0.6945278703114752,0.2645000136101783
67,0.15,0.07,0.2598734247468404,0.6954111329467382,0.27530262691414376
68,0.15,0.08,0.25864862300316827,0.696269438168583,0.28610846833157294
69,0.15,0.09,0.25746310083522544,0.6971038871635034,0.2969020060806481
70,0.15,0.1,0.25631494853371545,0.6979155123531406,0.3076695817660005
71,0.15,0.2,0.24654672650259546,0.704964372403864,0.4118958797134416
72,0.15,0.3,0.23910202565188302,0.7105190752212968,0.5066876507866742
73,0.15,0.4,0.23323314499889725,0.715017104294379,0.5909242696646932
74,0.15,0.5,0.22848469547349615,0.7187374222292632,0.6652900505367639
75,0.15,0.6,0.22456236235122284,0.7218675329570089,0.7309506251787222
76,0.15,0.7,0.22126706938092616,0.7245385869384025,0.7891007837134248
77,0.15,0.8,0.2184591708640816,0.7268452712662382,0.8408188210834334
78,0.15,0.9,0.2160377380955219,0.7288577520190219,0.8870323031818621
79,0.15,1.0,0.21392797375631545,0.7306291768867008,0.9285235450804473
80,0.2,0.0,0.22378693759678722,0.6372931777448922,0.17598780352711663
81,0.2,0.01,0.2224720758622581,0.6381650883076211,0.18515737627728301
82,0.2,0.02,0.22120685189418718,0.6390083071020375,0.19452184504382444
83,0.2,0.03,0.21998838293079823,0.6398243569079701,0.2040451392261623
84,0.2,0.04,0.21881401826201613,0.6406146414312338,0.21369537844172784
85,0.2,0.05,0.21768131470234747,0.6413804582976531,0.2234443779011674
86,0.2,0.06,0.21658801534183184,0.6421230101767593,0.23326721675507114
87,0.2,0.07,0.21553203103970262,0.6428434143696459,0.24314186070395263
88,0.2,0.08,0.21451142422853225,0.6435427111248794,0.2530488314629371
89,0.2,0.09,0.21352439467744228,0.6442218708927273,0.26297091676579687
90,0.2,0.1,0.21256926692612163,0.6448818006867203,0.2728929155134457
91,0.2,0.2,0.2044741187094005,0.6505872002523694,0.36982216244628136
92,0.2,0.3,0.1983408963002664,0.6550521392798406,0.458849532530422
93,0.2,0.4,0.1935276956307027,0.658648813596723,0.5383507108686072
94,0.2,0.5,0.18964733788943575,0.6616113497584492,0.6087237282984147
95,0.2,0.6,0.18645143915723453,0.6640955382553003,0.6709548779712395
96,0.2,0.7,0.18377298413471518,0.6662094933606202,0.7261182041991652
97,0.2,0.8,0.1814953881285866,0.6680307752535526,0.7752062351990152
98,0.2,0.9,0.17953473583520244,0.6696165556351,0.8190831167094921
99,0.2,1.0,0.17782905700093263,0.6710099465633032,0.8584828019288403
100,0.25,0.0,0.1881876381790878,0.5914072007100487,0.15606926063346463
101,0.25,0.01,0.1870954019230416,0.5921342366318976,0.16419378477119448
102,0.25,0.02,0.18604558551270114,0.5928362794126205,0.17255271642176803
103,0.25,0.03,0.18503564825715177,0.5935147221973022,0.181107281877401
104,0.25,0.04,0.18406326120223043,0.5941708433737057,0.189823150326257
105,0.25,0.05,0.1831262838764924,0.5948058197258719,0.19866991110686338
106,0.25,0.06,0.18222274427129484,0.5954207376152805,0.20762061742724638
107,0.25,0.07,0.18135082150606419,0.5960166025536368,0.21665138737639894
108,0.25,0.08,0.18050883073955545,0.5965943474526675,0.22574105441781947
109,0.25,0.09,0.17969520997263874,0.5971548397768544,0.2348708607038224
110,0.25,0.1,0.1789085084542021,0.597698887779571,0.24402418751669935
111,0.25,0.2,0.17226498408090368,0.6023796766352907,0.33432266079820544
112,0.25,0.3,0.16725978240671033,0.6060156150770807,0.41811435364765237
113,0.25,0.4,0.16334864647830466,0.6089279545007739,0.4933158759721792
114,0.25,0.5,0.16020628098541437,0.6113160338857964,0.5600648797217183
115,0.25,0.6,0.15762543230708423,0.6133111518169605,0.6191846046124978
116,0.25,0.7,0.15546750160523415,0.6150036982462834,0.6716392675393212
117,0.25,0.8,0.1536361746609735,0.6164580953483281,0.7183433363382663
118,0.25,0.9,0.15206238879658468,0.6177215713821792,0.7601032023341668
119,0.25,1.0,0.15069530771970996,0.6188295746406516,0.7976087595565442
120,0.3,0.0,0.16001784306169795,0.5497850301117247,0.140165159647588
121,0.3,0.01,0.15912045267077632,0.5503979077213177,0.14734012656349538
122,0.3,0.02,0.1582588419813339,0.5509888601604529,0.15478650014773335
123,0.3,0.03,0.1574308020369171,0.551559165463842,0.1624629279296695
124,0.3,0.04,0.15663431462310845,0.5521099913395748,0.17033274417808036
125,0.3,0.05,0.15586753047420465,0.5526424083723585,0.17836341981630874
126,0.3,0.06,0.15512875063608608,0.5531574011763916,0.18652608220864483
127,0.3,0.07,0.15441641042895624,0.5536558778864317,0.19479509519437005
128,0.3,0.08,0.15372906556816043,0.554138678289971,0.20314769116904557
129,0.3,0.09,0.15306538009010418,0.5546065808390273,0.21156364821293897
130,0.3,0.1,0.15242411579755608,0.5550603087310892,0.22002500628129537
131,0.3,0.2,0.14702640927332358,0.5589465179460774,0.3043785567238102
132,0.3,0.3,0.14297996386436573,0.5619446304425558,0.3835050867193245
133,0.3,0.4,0.13982976328659624,0.5643336793739034,0.4548931643775933
134,0.3,0.5,0.13730616478058344,0.5662846526343951,0.5184396230588357
135,0.3,0.6,0.13523843906347943,0.567909140899461,0.5748179073868649
136,0.3,0.7,0.13351296394741505,0.5692834148435998,0.6248919076021006
137,0.3,0.8,0.13205109069045376,0.570461516294691,0.669505129902726
138,0.3,0.9,0.1307966075121873,0.571482870552999,0.7094116849453839
139,0.3,1.0,0.12970825214592518,0.5723769464534619,0.7452617313476316
140,0.35,0.0,0.1372893629699573,0.5118800016357226,0.1273313040971236
141,0.35,0.01,0.13656242879243968,0.5123960580757012,0.13362837398143854
142,0.35,0.02,0.1358652184024253,0.5128930053728286,0.14023253744522568
143,0.35,0.03,0.13519583814983982,0.5133720029310793,0.14709990112366522
144,0.35,0.04,0.13455256424064915,0.5138341057590234,0.15419150096449286
145,0.35,0.05,0.13393382249198493,0.5142802774467855,0.16147272483141462
146,0.35,0.06,0.13333817114596994,0.5147114010670651,0.1689128083796615
147,0.35,0.07,0.13276428618160188,0.5151282884021091,0.17648439413410072
148,0.35,0.08,0.13221094868389488,0.5155316878086118,0.18416314518143115
149,0.35,0.09,0.1316770339205453,0.5159222909651334,0.1919274061389403
150,0.35,0.1,0.13116150184595748,0.5163007386955579,0.1997579051230151
151,0.35,0.2,0.12683496904260044,0.5195297655796544,0.27872599163805156
152,0.35,0.3,0.12360575572944972,0.5220065911269723,0.3536679338193564
153,0.35,0.4,0.12109975630542641,0.5239718576826733,0.4216606220140054
154,0.35,0.5,0.11909711603066095,0.5255714140776184,0.4823718751422164
155,0.35,0.6,0.11745943564294636,0.5268996987159869,0.5363341772067394
156,0.35,0.7,0.11609500929483532,0.52802087168803,0.5843179032845713
157,0.35,0.8,0.11494057612562678,0.5289801755688803,0.6271009704612804
158,0.35,0.9,0.11395104867743241,0.5298104855127916,0.6653895213081226
159,0.35,1.0,0.11309340776105331,0.5305362921603979,0.6997974894944415
160,0.4,0.0,0.118663835916372,0.477769556523475,0.116820677486355
161,0.4,0.01,0.1180857954260086,0.4781957183263344,0.12228445129863318
162,0.4,0.02,0.11753201509686109,0.478605622208405,0.12809066866150387
163,0.4,0.03,0.11700089479840715,0.4790002912889745,0.1341928727823631
